Campaña;Estado de la campaña;Tipo de campaña;Clics;Impr.;CTR;Código de moneda;CPC medio;Coste;Conversiones;Conv. post-impresión;Coste/conv.;Tasa de conv.
16_DISPLAY_NB_PRO_PREICFES_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_Display_NB_Prospecting;Retirada;Display;0;0;0;COP;0;0;0;0;0;0
16_Display_NB_Remarketing;Retirada;Display;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_BRAND_GENERICO_BROAD_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_BRAND_GENERICO_BROAD_BOG #2;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_BRAND_GENERICO_EXACT_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_BRAND_GENERICO_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_COM_ADMIN_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_COM_GENERICO_BROAD_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_COM_INGLES_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_COM_PREICFES_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_COM_TECNOLOGIA_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_COM_TURISMO_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_COM_VENTAS_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_ADMIN_BROAD_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_ADMIN_EXACT_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_ADMIN_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_DSA_GENÉRICO_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_GENERICO_BROAD_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_ICFES_BROAD_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_ICFES_EXACT_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_ICFES_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_INGLES_BROAD_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_INGLES_EXACT_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_INGLES_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_PRE.ICFES_BROAD_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_PRE.ICFES_EXACT_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_PRE.ICFES_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_PREICFES_BROAD_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_PREICFES_EXACT_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_PREICFES_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_TECNOLOGIA_BROAD_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_TECNOLOGIA_EXACT_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_TECNOLOGIA_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_TURISMO_BROAD_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_TURISMO_EXACT_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_TURISMO_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_VENTAS_BROAD_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_VENTAS_EXACT_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
16_SEARCH_NB_VENTAS_PHRASE_BOG;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
2_SEM_Bachillerato_Online_Colombia_ExcluyendoBogota;Habilitada;Buscar;2.613;28.108;9,30%;COP;899,54;2350502,88;582,75;0;4033,49;22,30%
2_SEM_Bachillerato_Online_Colombia_ExcluyendoBogota y Antioquia #2;Habilitada;Buscar;271;2.773;9,77%;COP;766,78;207796,29;48;0;4329,09;17,71%
Bachillerato 2018 #2;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato Bogotá Presencial;En pausa;Inteligente;0;0;0;COP;0;0;0;0;0;0
Bachillerato Bogotá YouTube;En pausa;Vídeo;0;0;0;COP;0;0;0;0;0;0
bachillerato online_barranquilla;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
bachillerato online_cali;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
bachillerato online_cartagena;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
bachillerato online_medellín;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato Virtual 2018 - Afuera #2;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato Virtual 2018 - Bogotá #2;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato Virtual YouTube;En pausa;Vídeo;0;0;0;COP;0;0;0;0;0;0
Bachillerato Virtual_Cali;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato Virtual_Cali #2;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato Virtual_Medellin;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Bachillerato_online_cali;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
Bogotá localidades Performace;En pausa;Rendimiento máximo;0;0;0;COP;0;0;0;0;0;0
DIC--ENE2016;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
DIC--ENE2016-Display;Retirada;Display;0;0;0;COP;0;0;0;0;0;0
display_virtual temporada;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
Enero Bachillerato 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Enero Bachillerato Virtual 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Enero Preicfes 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Febrero Bachillerato 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Febrero Bachillerato Virtual 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Febrero Inglés 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
Febrero Preicfes 2018;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
FV_Remarketing;Retirada;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bachillerato_OnLine_Bogota_Feb2021_RMKT;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bachillerato_OnLine_Colombia;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bachillerato_OnLine_Colombia_Aniversario_13años;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bachillerato_OnLine_Colombia_APP;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bachillerato_OnLine_Colombia_ATuRitmo;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bachillerato_OnLine_Colombia_Feb2021_RMKT;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bachillerato_OnLine_Colombia_JUL2021;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bachillerato_OnLine_Colombia_Mar2021_RMKT;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bachillerato_OnLine_Colombia1_RMKT;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bachillerato_OnLine_PC_Colombia_JUL2021;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bachillerato_Presencial_Categoria_Bogota;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Bto_Temp_23_24;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_HiBogota_Licitación;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
GDN_Maestria_EduTech_OnLine_Colombia;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
Inglés 2018_Mayo;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
Ingles Display Abril 2018;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
Inglés Intensivo 2018;Retirada;Vídeo;0;0;0;COP;0;0;0;0;0;0
Inglés Intereses;En pausa;Display;0;0;0;COP;0;0;0;0;0;0
Inglés YouTube;Retirada;Vídeo;0;0;0;COP;0;0;0;0;0;0
Inglés YouTube Video;En pausa;Vídeo;0;0;0;COP;0;0;0;0;0;0
Kuepa Chile_Estudios Medios;En pausa;Buscar;0;0;0;COP;0;0;0;0;0;0
LV_Bachillerato_OnLine_Bogota;Retirada;Local;0;0;0;COP;0;0;0;0;0;0
LV_Bachillerato_OnLine_Calle_72;En pausa;Inteligente;0;0;0;COP;0;0;0;0;0;0
MP_Competencia - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Competencia - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Competencia - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Competencia - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Competencia - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Competencia - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Curso de Ingles_BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Curso de Ingles_BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Curso de Ingles_BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Curso de Ingles_BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Curso de Ingles_EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Curso de Ingles_EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Curso de Ingles_PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Curso de Ingles_PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Bachiller Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Bachiller Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Bachiller Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Bachiller Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Bachiller Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Bachiller Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Bachiller Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Bachiller Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Bachiller Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Curso Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Curso Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Curso Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Curso Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Curso Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Curso Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Curso Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Curso Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Curso Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Secundario Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Secundario Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Secundario Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Secundario Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Secundario Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Secundario Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Secundario Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Secundario Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Secundario Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Nombres de Colegios;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Nombres de Colegios;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Nombres de Colegios;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Nombres de Colegios;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Nombres de Colegios;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_MEX_Ceneval - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_MEX_Ceneval - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_MEX_Ceneval - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_MEX_Ceneval - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_MEX_Ceneval - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_MEX_Ceneval - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
